region,horizon,model,feature,importance
south,3,xgboost,Wind_anom_mean_30d,0.009373283945024014
south,3,xgboost,SLHF,0.011236070655286312
south,3,xgboost,SLHF_Anomaly,0.003557596355676651
south,3,xgboost,SLHF_anom_mean_7d,0.00793529488146305
south,3,xgboost,SLHF_anom_mean_14d,0.018177086487412453
south,3,xgboost,SLHF_anom_mean_21d,0.003045720513910055
south,3,xgboost,SLHF_anom_mean_30d,0.004311027005314827
south,3,xgboost,SSHF,0.007283552084118128
south,3,xgboost,SSHF_Anomaly,0.004589392337948084
south,3,xgboost,SSHF_anom_mean_7d,0.008320841938257217
south,3,xgboost,SSHF_anom_mean_14d,0.013131984509527683
south,3,xgboost,SSHF_anom_mean_21d,0.009600606746971607
south,3,xgboost,SSHF_anom_mean_30d,0.0030954251997172832
south,3,xgboost,ONI_0m,0.010860237292945385
south,3,xgboost,DMI_0m,0.007836949080228806
south,3,xgboost,MEI_0m,0.012143655680119991
south,3,xgboost,ONI_1m,0.006547768134623766
south,3,xgboost,DMI_1m,0.007884477265179157
south,3,xgboost,MEI_1m,0.04303920641541481
south,3,xgboost,ONI_2m,0.004700190853327513
south,3,xgboost,DMI_2m,0.03125952556729317
south,3,xgboost,MEI_2m,0.0039846026338636875
south,3,xgboost,ONI_3m,0.0718543529510498
south,3,xgboost,DMI_3m,0.02163190208375454
south,3,xgboost,MEI_3m,0.01637682504951954
south,3,xgboost,ONI_6m,0.029966292902827263
south,3,xgboost,DMI_6m,0.05468872934579849
south,3,xgboost,MEI_6m,0.006732404697686434
south,3,xgboost,DOY_sin,0.009461501613259315
south,3,xgboost,DOY_cos,0.004934950266033411
south,7,xgboost,SST,0.005475982092320919
south,7,xgboost,Climatology,0.005156832747161388
south,7,xgboost,Threshold90,0.005778877064585686
south,7,xgboost,Intensity,0.029822619631886482
south,7,xgboost,SST_Anomaly,0.20282262563705444
south,7,xgboost,Above_Threshold,0.003305058926343918
south,7,xgboost,Distance_to_Threshold,0.011256352066993713
south,7,xgboost,Consecutive_Hot_Days,0.003347493475303054
south,7,xgboost,SST_mean_7d,0.027305107563734055
south,7,xgboost,SST_std_7d,0.008194326423108578
south,7,xgboost,Intensity_mean_7d,0.019452227279543877
south,7,xgboost,SST_mean_14d,0.0058336034417152405
south,7,xgboost,SST_std_14d,0.0030350799206644297
south,7,xgboost,Intensity_mean_14d,0.0047422004863619804
south,7,xgboost,SST_mean_21d,0.0036910094786435366
south,7,xgboost,SST_std_21d,0.003193329321220517
south,7,xgboost,Intensity_mean_21d,0.014083107002079487
south,7,xgboost,SST_mean_30d,0.0037629338912665844
south,7,xgboost,SST_std_30d,0.002416735514998436
south,7,xgboost,Intensity_mean_30d,0.008809850551187992
south,7,xgboost,SST_change_7d,0.02072763256728649
south,7,xgboost,SST_change_14d,0.010910832323133945
south,7,xgboost,Wind,0.004362364299595356
south,7,xgboost,Wind_Climatology,0.001783799845725298
south,7,xgboost,Wind_Anomaly,0.00856164563447237
south,7,xgboost,Wind_mean_7d,0.005685186944901943
south,7,xgboost,Wind_anom_mean_7d,0.004504948854446411
south,7,xgboost,Wind_mean_14d,0.0027107857167720795
south,7,xgboost,Wind_anom_mean_14d,0.0015637297183275223
south,7,xgboost,Wind_mean_21d,0.002870281459763646
south,7,xgboost,Wind_anom_mean_21d,0.0066017163917422295
south,7,xgboost,Wind_mean_30d,0.013919278047978878
south,7,xgboost,Wind_anom_mean_30d,0.013494996353983879
south,7,xgboost,SLHF,0.006527109071612358
south,7,xgboost,SLHF_Anomaly,0.00512479804456234
south,7,xgboost,SLHF_anom_mean_7d,0.0028781036380678415
south,7,xgboost,SLHF_anom_mean_14d,0.005557021126151085
south,7,xgboost,SLHF_anom_mean_21d,0.002975001698359847
south,7,xgboost,SLHF_anom_mean_30d,0.00881877914071083
south,7,xgboost,SSHF,0.007256300188601017
south,7,xgboost,SSHF_Anomaly,0.006294419523328543
south,7,xgboost,SSHF_anom_mean_7d,0.007486420217901468
south,7,xgboost,SSHF_anom_mean_14d,0.008295094594359398
south,7,xgboost,SSHF_anom_mean_21d,0.003785184118896723
south,7,xgboost,SSHF_anom_mean_30d,0.005129395052790642
south,7,xgboost,ONI_0m,0.037049535661935806
south,7,xgboost,DMI_0m,0.02747490629553795
south,7,xgboost,MEI_0m,0.028999190777540207
south,7,xgboost,ONI_1m,0.002377737546339631
south,7,xgboost,DMI_1m,0.007817842997610569
south,7,xgboost,MEI_1m,0.05178801715373993
south,7,xgboost,ONI_2m,0.0064018177799880505
south,7,xgboost,DMI_2m,0.05681324005126953
south,7,xgboost,MEI_2m,0.001028545550070703
south,7,xgboost,ONI_3m,0.08245715498924255
south,7,xgboost,DMI_3m,0.0071326009929180145
south,7,xgboost,MEI_3m,0.09612474590539932
south,7,xgboost,ONI_6m,0.017037441954016685
south,7,xgboost,DMI_6m,0.015300045721232891
south,7,xgboost,MEI_6m,0.006657065823674202
south,7,xgboost,DOY_sin,0.007615627720952034
south,7,xgboost,DOY_cos,0.008614354766905308
south,14,xgboost,SST,0.028922153636813164
south,14,xgboost,Climatology,0.004239409696310759
south,14,xgboost,Threshold90,0.006900776643306017
south,14,xgboost,Intensity,0.01525792758911848
south,14,xgboost,SST_Anomaly,0.09525464475154877
south,14,xgboost,Above_Threshold,0.009035267867147923
south,14,xgboost,Distance_to_Threshold,0.030056258663535118
south,14,xgboost,Consecutive_Hot_Days,0.004889076109975576
south,14,xgboost,SST_mean_7d,0.015403388999402523
south,14,xgboost,SST_std_7d,0.0015026277396827936
south,14,xgboost,Intensity_mean_7d,0.01417894009500742
south,14,xgboost,SST_mean_14d,0.008772257715463638
south,14,xgboost,SST_std_14d,0.003479410894215107
south,14,xgboost,Intensity_mean_14d,0.01261368952691555
south,14,xgboost,SST_mean_21d,0.006164259742945433
